"","signature","type","channel","fraction"
"40","DBS1","GC>NN","GC>AA",0.00217018615708473
"41","DBS1","GC>NN","GC>AG",0.000714723198484347
"42","DBS1","GC>NN","GC>AT",0.00139082888760998
"43","DBS1","GC>NN","GC>CA",0.000149287433202989
"44","DBS1","GC>NN","GC>CG",1.37090246058312e-05
"45","DBS1","GC>NN","GC>TA",7.29794933111731e-05
"46","DBS1","TA>NN","TA>AT",0.00146472847001651
"47","DBS1","TA>NN","TA>CG",6.76733273947847e-05
"48","DBS1","TA>NN","TA>CT",0.00122760311254421
"49","DBS1","TA>NN","TA>GC",4.96756812579974e-05
"50","DBS1","TA>NN","TA>GG",0.000223693154557257
"51","DBS1","TA>NN","TA>GT",0.001645786421044
"52","DBS1","TC>NN","TC>AA",0.00170066889417698
"53","DBS1","TC>NN","TC>AG",0.000347544733899316
"54","DBS1","TC>NN","TC>AT",0.0120776731643212
"55","DBS1","TC>NN","TC>CA",0.000625489481127382
"56","DBS1","TC>NN","TC>CG",3.85419049854425e-05
"57","DBS1","TC>NN","TC>CT",0.00293698250168234
"58","DBS1","TC>NN","TC>GA",0.000599058430919525
"59","DBS1","TC>NN","TC>GG",0.000363352678515079
"60","DBS1","TC>NN","TC>GT",0.00679469490885658
"61","DBS1","TG>NN","TG>AA",0.00169416881446332
"62","DBS1","TG>NN","TG>AC",0.000391683950965002
"63","DBS1","TG>NN","TG>AT",0.00602162311985776
"64","DBS1","TG>NN","TG>CA",0.0012278412486825
"65","DBS1","TG>NN","TG>CC",0.000390854161353991
"66","DBS1","TG>NN","TG>CT",0.00380053672875493
"67","DBS1","TG>NN","TG>GA",0.000692659610348409
"68","DBS1","TG>NN","TG>GC",0.00015039648279372
"69","DBS1","TG>NN","TG>GT",0.00321824383783526
"70","DBS1","TT>NN","TT>AA",0.00622472540519343
"71","DBS1","TT>NN","TT>AC",0.00111968251515843
"72","DBS1","TT>NN","TT>AG",0.00131614869260237
"73","DBS1","TT>NN","TT>CA",0.00204890773686489
"74","DBS1","TT>NN","TT>CC",0.00450004923047259
"75","DBS1","TT>NN","TT>CG",0.000378188688514403
"76","DBS1","TT>NN","TT>GA",0.0016706824519784
"77","DBS1","TT>NN","TT>GC",0.000838018132504121
"78","DBS1","TT>NN","TT>GG",0.00132715945509252
"79","DBS2","AC>NN","AC>CA",0.00384411620954248
"80","DBS2","AC>NN","AC>CG",0.000310574010626481
"81","DBS2","AC>NN","AC>CT",0.0026251507499661
"82","DBS2","AC>NN","AC>GA",0.00093417370173456
"83","DBS2","AC>NN","AC>GG",0.000279422154895147
"84","DBS2","AC>NN","AC>GT",0.000849059841837457
"85","DBS2","AC>NN","AC>TA",0.00255011283810582
"86","DBS2","AC>NN","AC>TG",0.0002801170077346
"87","DBS2","AC>NN","AC>TT",0.00386009665483197
"88","DBS2","AT>NN","AT>CA",0.000251085153425866
"89","DBS2","AT>NN","AT>CC",0.000301407843880163
"90","DBS2","AT>NN","AT>CG",9.96241343124507e-05
"91","DBS2","AT>NN","AT>GA",0.000690653370728499
"92","DBS2","AT>NN","AT>GC",0.000214114319262493
"93","DBS2","AT>NN","AT>TA",0.000866575321141882
"94","DBS2","CC>NN","CC>AA",0.569410051381481
"95","DBS2","CC>NN","CC>AG",0.0598061322553233
"96","DBS2","CC>NN","CC>AT",0.083112737236131
"97","DBS2","CC>NN","CC>GA",0.0191307350168663
"98","DBS2","CC>NN","CC>GG",0.00244829495192684
"99","DBS2","CC>NN","CC>GT",0.00306100558398621
"100","DBS2","CC>NN","CC>TA",0.0168519330732862
"101","DBS2","CC>NN","CC>TG",0.00186559734977158
"102","DBS2","CC>NN","CC>TT",0.0104246136928974
"103","DBS2","CG>NN","CG>AT",0.00288429997316948
"104","DBS2","CG>NN","CG>GC",0.000618114615817314
"105","DBS2","CG>NN","CG>GT",0.00284651557329744
"106","DBS2","CG>NN","CG>TA",0.00030136707319727
"107","DBS2","CG>NN","CG>TC",0.0047482391194231
"108","DBS2","CG>NN","CG>TT",0.0100335627607285
"109","DBS2","CT>NN","CT>AA",0.0217642674192725
"110","DBS2","CT>NN","CT>AC",0.00443353923261248
"111","DBS2","CT>NN","CT>AG",0.00373952603456871
"112","DBS2","CT>NN","CT>GA",0.00108412683961515
"113","DBS2","CT>NN","CT>GC",0.000634143903409211
"114","DBS2","CT>NN","CT>GG",0.000849572592162033
"115","DBS2","CT>NN","CT>TA",0.00997764983533602
"116","DBS2","CT>NN","CT>TC",0.00176807527879339
"117","DBS2","CT>NN","CT>TG",0.00261746205441676
"118","DBS2","GC>NN","GC>AA",0.00779511667929279
"119","DBS2","GC>NN","GC>AG",0.00136091021768367
"120","DBS2","GC>NN","GC>AT",0.00189295338320297
"121","DBS2","GC>NN","GC>CA",0.00161324193022189
"122","DBS2","GC>NN","GC>CG",0.000191155107209967
"123","DBS2","GC>NN","GC>TA",0.00112073533334443
"124","DBS2","TA>NN","TA>AT",0.00374748834129152
"125","DBS2","TA>NN","TA>CG",0.000253420684930195
"126","DBS2","TA>NN","TA>CT",0.00301891613074632
"127","DBS2","TA>NN","TA>GC",6.15039429449216e-05
"128","DBS2","TA>NN","TA>GG",0.000139940492862011
"129","DBS2","TA>NN","TA>GT",0.00131660597416291
"130","DBS2","TC>NN","TC>AA",0.00996721419955081
"131","DBS2","TC>NN","TC>AG",0.0013893793517996
"132","DBS2","TC>NN","TC>AT",0.00509325243878742
"133","DBS2","TC>NN","TC>CA",0.00438461810519915
"134","DBS2","TC>NN","TC>CG",0.000442133248928637
"135","DBS2","TC>NN","TC>CT",0.00458978327706316
"136","DBS2","TC>NN","TC>GA",0.00177173837381458
"137","DBS2","TC>NN","TC>GG",0.000111853131644536
"138","DBS2","TC>NN","TC>GT",0.00197440441346193
"139","DBS2","TG>NN","TG>AA",0.00584927979923951
"140","DBS2","TG>NN","TG>AC",0.000735993080662254
"141","DBS2","TG>NN","TG>AT",0.0322696129366444
"142","DBS2","TG>NN","TG>CA",0.001570141841429
"143","DBS2","TG>NN","TG>CC",0.00101448551588717
"144","DBS2","TG>NN","TG>CT",0.0332284760161679
"145","DBS2","TG>NN","TG>GA",0.000964624028071897
"146","DBS2","TG>NN","TG>GC",0.000710913662482218
"147","DBS2","TG>NN","TG>GT",0.00978691672787698
"148","DBS2","TT>NN","TT>AA",0.00434897281684641
"149","DBS2","TT>NN","TT>AC",0.000208389344273667
"150","DBS2","TT>NN","TT>AG",0.00129144975813076
"151","DBS2","TT>NN","TT>CA",0.000803166226764161
"152","DBS2","TT>NN","TT>CC",0.00108527040183153
"153","DBS2","TT>NN","TT>CG",0.000270938542001306
"154","DBS2","TT>NN","TT>GA",0.000344388324550818
"155","DBS2","TT>NN","TT>GC",0.000228919688501783
"156","DBS2","TT>NN","TT>GG",0.000683850370979168
"157","DBS3","AC>NN","AC>CA",0.00459936084528929
"158","DBS3","AC>NN","AC>CG",7.18965199299864e-05
"159","DBS3","AC>NN","AC>CT",0.00192141864298334
"160","DBS3","AC>NN","AC>GA",0.00415611956875074
"161","DBS3","AC>NN","AC>GG",0.000267891037735261
"162","DBS3","AC>NN","AC>GT",0.00618067266879985
"163","DBS3","AC>NN","AC>TA",0.00435228853553652
"164","DBS3","AC>NN","AC>TG",0
"165","DBS3","AC>NN","AC>TT",0.00408565479310856
"166","DBS3","AT>NN","AT>CA",0.00582081051379388
"167","DBS3","AT>NN","AT>CC",0.00643062459926978
"168","DBS3","AT>NN","AT>CG",0.00925874465836673
"169","DBS3","AT>NN","AT>GA",0.00123491510338688
"170","DBS3","AT>NN","AT>GC",0.00363876933235698
"171","DBS3","AT>NN","AT>TA",0.0169506187754207
"172","DBS3","CC>NN","CC>AA",0.00928614441691312
"173","DBS3","CC>NN","CC>AG",0.00767048056017359
"174","DBS3","CC>NN","CC>AT",0.00288554695694027
"175","DBS3","CC>NN","CC>GA",0.00385073151036624
"176","DBS3","CC>NN","CC>GG",1.04931519698646e-16
"177","DBS3","CC>NN","CC>GT",3.37105112806917e-15
"178","DBS3","CC>NN","CC>TA",0.0193001347703539
"179","DBS3","CC>NN","CC>TG",1.2718593458259e-08
"180","DBS3","CC>NN","CC>TT",0.0170334518617176
"181","DBS3","CG>NN","CG>AT",0.000250883995808788
"182","DBS3","CG>NN","CG>GC",0
"183","DBS3","CG>NN","CG>GT",0
"184","DBS3","CG>NN","CG>TA",0.0802586502581953
"185","DBS3","CG>NN","CG>TC",5.68680900736174e-05
"186","DBS3","CG>NN","CG>TT",0.0130718351020268
"187","DBS3","CT>NN","CT>AA",0.0215388816721345
"188","DBS3","CT>NN","CT>AC",0.0263213266877203
"189","DBS3","CT>NN","CT>AG",0.09595676888625
"190","DBS3","CT>NN","CT>GA",0.0001088624393304
"191","DBS3","CT>NN","CT>GC",6.42098684122453e-05
"192","DBS3","CT>NN","CT>GG",0.00387954878765944
"193","DBS3","CT>NN","CT>TA",0.000820350469416037
"194","DBS3","CT>NN","CT>TC",0.00490278927182542
"195","DBS3","CT>NN","CT>TG",0.0428678474504891
"196","DBS3","GC>NN","GC>AA",0.00435949577466063
"197","DBS3","GC>NN","GC>AG",0.000162323688057806
"198","DBS3","GC>NN","GC>AT",0.00218519213712449
"199","DBS3","GC>NN","GC>CA",6.37857387485555e-13
"200","DBS3","GC>NN","GC>CG",0
"201","DBS3","GC>NN","GC>TA",0.00832267483282285
"202","DBS3","TA>NN","TA>AT",0.00536031482363754
"203","DBS3","TA>NN","TA>CG",0.00231555449050073
"204","DBS3","TA>NN","TA>CT",0.00022646727764084
"205","DBS3","TA>NN","TA>GC",0.00180024322378075
"206","DBS3","TA>NN","TA>GG",0.00370406143290713
"207","DBS3","TA>NN","TA>GT",0.000817326532751159
"208","DBS3","TC>NN","TC>AA",0.0144437707424896
"209","DBS3","TC>NN","TC>AG",8.53074659141635e-15
"210","DBS3","TC>NN","TC>AT",0.0119825132644541
"211","DBS3","TC>NN","TC>CA",0.058177045865158
"212","DBS3","TC>NN","TC>CG",4.87304112116768e-05
"213","DBS3","TC>NN","TC>CT",0.0202588237312458
"214","DBS3","TC>NN","TC>GA",0.0650136726581751
"215","DBS3","TC>NN","TC>GG",9.46422440824071e-05
"216","DBS3","TC>NN","TC>GT",0.0372304919984755
"217","DBS3","TG>NN","TG>AA",1.75418034721094e-05
"218","DBS3","TG>NN","TG>AC",2.6077048872855e-06
"219","DBS3","TG>NN","TG>AT",0.000274679970868404
"220","DBS3","TG>NN","TG>CA",0.00825902303743418
"221","DBS3","TG>NN","TG>CC",0.000202875100051113
"222","DBS3","TG>NN","TG>CT",0.00259748195742257
"223","DBS3","TG>NN","TG>GA",0.000624861984082401
"224","DBS3","TG>NN","TG>GC",0.000145336716060425
"225","DBS3","TG>NN","TG>GT",0.0176730651070181
"226","DBS3","TT>NN","TT>AA",0.00990521753121769
"227","DBS3","TT>NN","TT>AC",0.00613474346229417
"228","DBS3","TT>NN","TT>AG",0.0188890739640529
"229","DBS3","TT>NN","TT>CA",0.000905514831475057
"230","DBS3","TT>NN","TT>CC",0.0059023378358745
"231","DBS3","TT>NN","TT>CG",0.0213854296259588
"232","DBS3","TT>NN","TT>GA",0.013141254629158
"233","DBS3","TT>NN","TT>GC",0.0411687383258607
"234","DBS3","TT>NN","TT>GG",0.197171759913857
"235","DBS4","AC>NN","AC>CA",0.00606180472657802
"236","DBS4","AC>NN","AC>CG",1.4126361351294e-20
"237","DBS4","AC>NN","AC>CT",0.00659789646029079
"238","DBS4","AC>NN","AC>GA",0.00187089380313046
"239","DBS4","AC>NN","AC>GG",0.00147004117982935
"240","DBS4","AC>NN","AC>GT",0.000595840379224628
"241","DBS4","AC>NN","AC>TA",0.00369468347835226
"242","DBS4","AC>NN","AC>TG",0.00146168217608222
"243","DBS4","AC>NN","AC>TT",0.00924751761605193
"244","DBS4","AT>NN","AT>CA",0.000420143928504189
"245","DBS4","AT>NN","AT>CC",0.000726003176787683
"246","DBS4","AT>NN","AT>CG",0.000777426345868025
"247","DBS4","AT>NN","AT>GA",0.00399124025932826
"248","DBS4","AT>NN","AT>GC",0.00117614951497173
"249","DBS4","AT>NN","AT>TA",0.0078816404444089
"250","DBS4","CC>NN","CC>AA",0.0401075778714877
"251","DBS4","CC>NN","CC>AG",0.024380730804189
"252","DBS4","CC>NN","CC>AT",0.026126702794521
"253","DBS4","CC>NN","CC>GA",0.0045669043221046
"254","DBS4","CC>NN","CC>GG",0.00100438253537295
"255","DBS4","CC>NN","CC>GT",0.00592602209145541
"256","DBS4","CC>NN","CC>TA",0.00659248797746776
"257","DBS4","CC>NN","CC>TG",0.00586598359082536
"258","DBS4","CC>NN","CC>TT",0.0138877019413793
"259","DBS4","CG>NN","CG>AT",0.00112951807285102
"260","DBS4","CG>NN","CG>GC",6.72918115059468e-14
"261","DBS4","CG>NN","CG>GT",1.8882117535175e-05
"262","DBS4","CG>NN","CG>TA",1.40886699178867e-20
"263","DBS4","CG>NN","CG>TC",0.000144031718533087
"264","DBS4","CG>NN","CG>TT",0.00201692222431624
"265","DBS4","CT>NN","CT>AA",0.0419193610645272
"266","DBS4","CT>NN","CT>AC",0.0101850891833822
"267","DBS4","CT>NN","CT>AG",0.0107723986190964
"268","DBS4","CT>NN","CT>GA",0.0017962983758592
"269","DBS4","CT>NN","CT>GC",0.000615193210739103
"270","DBS4","CT>NN","CT>GG",0.000376531679357328
"271","DBS4","CT>NN","CT>TA",0.00782679193325623
"272","DBS4","CT>NN","CT>TC",0.00384593968589929
"273","DBS4","CT>NN","CT>TG",0.00250116607987325
"274","DBS4","GC>NN","GC>AA",0.270915211714839
"275","DBS4","GC>NN","GC>AG",0.0210759397234457
"276","DBS4","GC>NN","GC>AT",0.0465995849959026
"277","DBS4","GC>NN","GC>CA",0.00955467720209634
"278","DBS4","GC>NN","GC>CG",4.85789730627498e-20
"279","DBS4","GC>NN","GC>TA",0.0189766353278662
"280","DBS4","TA>NN","TA>AT",0.0181536038363591
"281","DBS4","TA>NN","TA>CG",0.000801840643543283
"282","DBS4","TA>NN","TA>CT",0.0046245748716391
"283","DBS4","TA>NN","TA>GC",0.000333001691809066
"284","DBS4","TA>NN","TA>GG",0.00161327516678125
"285","DBS4","TA>NN","TA>GT",0.00318494428019749
"286","DBS4","TC>NN","TC>AA",0.1415683538993
"287","DBS4","TC>NN","TC>AG",0.0151071420026057
"288","DBS4","TC>NN","TC>AT",0.0484049599850101
"289","DBS4","TC>NN","TC>CA",0.0131172053484833
"290","DBS4","TC>NN","TC>CG",0.00119616950733031
"291","DBS4","TC>NN","TC>CT",0.00625950726408655
"292","DBS4","TC>NN","TC>GA",0.0134761073534125
"293","DBS4","TC>NN","TC>GG",0.000985699350255603
"294","DBS4","TC>NN","TC>GT",0.00349071094781462
"295","DBS4","TG>NN","TG>AA",0.0056335961856652
"296","DBS4","TG>NN","TG>AC",0.00184299885968183
"297","DBS4","TG>NN","TG>AT",0.0103592445767604
"298","DBS4","TG>NN","TG>CA",0.00519254211884281
"299","DBS4","TG>NN","TG>CC",0.00324651673943772
"300","DBS4","TG>NN","TG>CT",0.0172673083530278
"301","DBS4","TG>NN","TG>GA",0.00612993357205957
"302","DBS4","TG>NN","TG>GC",0.00470751969768566
"303","DBS4","TG>NN","TG>GT",0.0112064935835103
"304","DBS4","TT>NN","TT>AA",0.0147518839865073
"305","DBS4","TT>NN","TT>AC",0.00184810568615627
"306","DBS4","TT>NN","TT>AG",0.000874344468711158
"307","DBS4","TT>NN","TT>CA",0.00619390069730237
"308","DBS4","TT>NN","TT>CC",0.00773825064518492
"309","DBS4","TT>NN","TT>CG",0.00147004117982935
"310","DBS4","TT>NN","TT>GA",0.00220914273875025
"311","DBS4","TT>NN","TT>GC",0.00191072724550068
"312","DBS4","TT>NN","TT>GG",0.000398723169103705
"313","DBS5","AC>NN","AC>CA",0.00421575045528726
"314","DBS5","AC>NN","AC>CG",0.000248830735594574
"315","DBS5","AC>NN","AC>CT",0.00189430722374739
"316","DBS5","AC>NN","AC>GA",0.00195760265636348
"317","DBS5","AC>NN","AC>GG",0.000290942179583801
"318","DBS5","AC>NN","AC>GT",0.00191382628477489
"319","DBS5","AC>NN","AC>TA",0.00325214661158155
"320","DBS5","AC>NN","AC>TG",0.00104603098825685
"321","DBS5","AC>NN","AC>TT",0.00509943381445362
"322","DBS5","AT>NN","AT>CA",0.00171435532119066
"323","DBS5","AT>NN","AT>CC",0.000415268171786082
"324","DBS5","AT>NN","AT>CG",7.83642741081921e-05
"325","DBS5","AT>NN","AT>GA",0.0012123288420171
"326","DBS5","AT>NN","AT>GC",0.000423504573745609
"327","DBS5","AT>NN","AT>TA",0.0029105047211705
"328","DBS5","CC>NN","CC>AA",0.0413480821893691
"329","DBS5","CC>NN","CC>AG",0.022640298165268
"330","DBS5","CC>NN","CC>AT",0.0250944649882664
"331","DBS5","CC>NN","CC>GA",0.00488031436830537
"332","DBS5","CC>NN","CC>GG",0.00205067015685831
"333","DBS5","CC>NN","CC>GT",0.00358121123998182
"334","DBS5","CC>NN","CC>TA",0.010041185916366
"335","DBS5","CC>NN","CC>TG",0.00635406651780308
"336","DBS5","CC>NN","CC>TT",0.00651167003520473
"337","DBS5","CG>NN","CG>AT",0.00119641399339351
"338","DBS5","CG>NN","CG>GC",0.00013038842148624
"339","DBS5","CG>NN","CG>GT",0.00235114295278172
"340","DBS5","CG>NN","CG>TA",0.000573728832523231
"341","DBS5","CG>NN","CG>TC",0.00112607824547924
"342","DBS5","CG>NN","CG>TT",0.004068461639963
"343","DBS5","CT>NN","CT>AA",0.23432133909113
"344","DBS5","CT>NN","CT>AC",0.0917072917489468
"345","DBS5","CT>NN","CT>AG",0.0147861840272633
"346","DBS5","CT>NN","CT>GA",0.00735244797943354
"347","DBS5","CT>NN","CT>GC",0.00251057339940237
"348","DBS5","CT>NN","CT>GG",0.00192729210734193
"349","DBS5","CT>NN","CT>TA",0.0169546626051445
"350","DBS5","CT>NN","CT>TC",0.0102211206663802
"351","DBS5","CT>NN","CT>TG",0.00719165977778735
"352","DBS5","GC>NN","GC>AA",0.0204975886440487
"353","DBS5","GC>NN","GC>AG",0.00809070878079375
"354","DBS5","GC>NN","GC>AT",0.00582189501340227
"355","DBS5","GC>NN","GC>CA",0.00374739916279684
"356","DBS5","GC>NN","GC>CG",0.000332314205256723
"357","DBS5","GC>NN","GC>TA",0.00186830904337894
"358","DBS5","TA>NN","TA>AT",0.00680601623755463
"359","DBS5","TA>NN","TA>CG",0.000527173525914817
"360","DBS5","TA>NN","TA>CT",0.00496870211777472
"361","DBS5","TA>NN","TA>GC",0.000365348130641869
"362","DBS5","TA>NN","TA>GG",0.00115862690690234
"363","DBS5","TA>NN","TA>GT",0.00227087978319444
"364","DBS5","TC>NN","TC>AA",0.117798480638651
"365","DBS5","TC>NN","TC>AG",0.0317187291059855
"366","DBS5","TC>NN","TC>AT",0.0647149242496016
"367","DBS5","TC>NN","TC>CA",0.00754216406745934
"368","DBS5","TC>NN","TC>CG",0.00143546433447791
"369","DBS5","TC>NN","TC>CT",0.00655964139747904
"370","DBS5","TC>NN","TC>GA",0.00472361013657506
"371","DBS5","TC>NN","TC>GG",0.00114196023373302
"372","DBS5","TC>NN","TC>GT",0.00847904651041535
"373","DBS5","TG>NN","TG>AA",0.0139563082267152
"374","DBS5","TG>NN","TG>AC",0.00328336967606138
"375","DBS5","TG>NN","TG>AT",0.0303793098483955
"376","DBS5","TG>NN","TG>CA",0.00756544297952499
"377","DBS5","TG>NN","TG>CC",0.0033273918044132
"378","DBS5","TG>NN","TG>CT",0.0128063118617126
"379","DBS5","TG>NN","TG>GA",0.00227180186536198
"380","DBS5","TG>NN","TG>GC",0.00139263192671861
"381","DBS5","TG>NN","TG>GT",0.0480949764857617
"382","DBS5","TT>NN","TT>AA",0.0122471156195162
"383","DBS5","TT>NN","TT>AC",0.00222018564320901
"384","DBS5","TT>NN","TT>AG",0.00321015587538291
"385","DBS5","TT>NN","TT>CA",0.00369686061921867
"386","DBS5","TT>NN","TT>CC",0.00440359978570058
"387","DBS5","TT>NN","TT>CG",0.000657851116007446
"388","DBS5","TT>NN","TT>GA",0.00211560856181909
"389","DBS5","TT>NN","TT>GC",0.000937051896826686
"390","DBS5","TT>NN","TT>GG",0.00127109806207529
"391","DBS7","AC>NN","AC>CA",0.0310016254030936
"392","DBS7","AC>NN","AC>CG",0.00333480098847617
"393","DBS7","AC>NN","AC>CT",0.00178567330310578
"394","DBS7","AC>NN","AC>GA",0.00574823372316423
"395","DBS7","AC>NN","AC>GG",0.002020963613524
"396","DBS7","AC>NN","AC>GT",0.00857688252608634
"397","DBS7","AC>NN","AC>TA",0.00378748017407553
"398","DBS7","AC>NN","AC>TG",0.0135216403289276
"399","DBS7","AC>NN","AC>TT",0.00774332557314801
"400","DBS7","AT>NN","AT>CA",0.0151030578908621
"401","DBS7","AT>NN","AT>CC",0.00974860218670637
"402","DBS7","AT>NN","AT>CG",0.0175388263488469
"403","DBS7","AT>NN","AT>GA",0.00481301786090582
"404","DBS7","AT>NN","AT>GC",0.0065347239309635
"405","DBS7","AT>NN","AT>TA",0.0025742325774687
"406","DBS7","CC>NN","CC>AA",0.000201302454613286
"407","DBS7","CC>NN","CC>AG",0.00827369840252642
"408","DBS7","CC>NN","CC>AT",0.0199356500882901
"409","DBS7","CC>NN","CC>GA",0.00403991205658107
"410","DBS7","CC>NN","CC>GG",0.00864737690717819
"411","DBS7","CC>NN","CC>GT",0.00459747398572445
"412","DBS7","CC>NN","CC>TA",0
"413","DBS7","CC>NN","CC>TG",0.00766823650893574
"414","DBS7","CC>NN","CC>TT",0.0139640367194455
"415","DBS7","CG>NN","CG>AT",0
"416","DBS7","CG>NN","CG>GC",0
"417","DBS7","CG>NN","CG>GT",0
"418","DBS7","CG>NN","CG>TA",0.00181767497530641
"419","DBS7","CG>NN","CG>TC",0
"420","DBS7","CG>NN","CG>TT",0
"421","DBS7","CT>NN","CT>AA",0.00513918077590579
"422","DBS7","CT>NN","CT>AC",0.0245543514556712
"423","DBS7","CT>NN","CT>AG",0.0170067701242671
"424","DBS7","CT>NN","CT>GA",0.00352709995314975
"425","DBS7","CT>NN","CT>GC",0.00931786966281836
"426","DBS7","CT>NN","CT>GG",0.00673875712190737
"427","DBS7","CT>NN","CT>TA",0.0063342741299304
"428","DBS7","CT>NN","CT>TC",0.0543175527199063
"429","DBS7","CT>NN","CT>TG",0.0113594687115668
"430","DBS7","GC>NN","GC>AA",0.00911051023713546
"431","DBS7","GC>NN","GC>AG",0.00818904047645853
"432","DBS7","GC>NN","GC>AT",0.0020093708728093
"433","DBS7","GC>NN","GC>CA",0.000814346096564813
"434","DBS7","GC>NN","GC>CG",0
"435","DBS7","GC>NN","GC>TA",0.00443239504262725
"436","DBS7","TA>NN","TA>AT",0.0150197931380409
"437","DBS7","TA>NN","TA>CG",0.00369162668330492
"438","DBS7","TA>NN","TA>CT",0.0171007990543264
"439","DBS7","TA>NN","TA>GC",0.00072465049876436
"440","DBS7","TA>NN","TA>GG",0.0101474598779495
"441","DBS7","TA>NN","TA>GT",0.0152066985954257
"442","DBS7","TC>NN","TC>AA",0.00372492552952259
"443","DBS7","TC>NN","TC>AG",0.00276552607650998
"444","DBS7","TC>NN","TC>AT",0.000872089403876535
"445","DBS7","TC>NN","TC>CA",0.0164015041952562
"446","DBS7","TC>NN","TC>CG",0
"447","DBS7","TC>NN","TC>CT",0.00882281424517577
"448","DBS7","TC>NN","TC>GA",0.0135993798843998
"449","DBS7","TC>NN","TC>GG",0.00452965064197607
"450","DBS7","TC>NN","TC>GT",0.00425992020137841
"451","DBS7","TG>NN","TG>AA",0.0091408410188158
"452","DBS7","TG>NN","TG>AC",0.0105611418063035
"453","DBS7","TG>NN","TG>AT",0.00123606393883405
"454","DBS7","TG>NN","TG>CA",0.00278012458263576
"455","DBS7","TG>NN","TG>CC",0
"456","DBS7","TG>NN","TG>CT",0.0139140473873044
"457","DBS7","TG>NN","TG>GA",0.00762153566623767
"458","DBS7","TG>NN","TG>GC",0.00605772257133613
"459","DBS7","TG>NN","TG>GT",0.0162974268708892
"460","DBS7","TT>NN","TT>AA",0.0812450929062946
"461","DBS7","TT>NN","TT>AC",0.0440149606673373
"462","DBS7","TT>NN","TT>AG",0.0446074545633786
"463","DBS7","TT>NN","TT>CA",0.152079105721198
"464","DBS7","TT>NN","TT>CC",0.0299411295494092
"465","DBS7","TT>NN","TT>CG",0.0185419243397938
"466","DBS7","TT>NN","TT>GA",0.0129560483677606
"467","DBS7","TT>NN","TT>GC",0.02301587976409
"468","DBS7","TT>NN","TT>GG",0.0432932263438005
"469","DBS8","AC>NN","AC>CA",0.258940366935803
"470","DBS8","AC>NN","AC>CG",0.00214648534285831
"471","DBS8","AC>NN","AC>CT",0.475589937987074
"472","DBS8","AC>NN","AC>GA",0.00199601536167142
"473","DBS8","AC>NN","AC>GG",3.49397112670114e-05
"474","DBS8","AC>NN","AC>GT",0.00071940013659612
"475","DBS8","AC>NN","AC>TA",0.00605226572379938
"476","DBS8","AC>NN","AC>TG",0.000185610697608278
"477","DBS8","AC>NN","AC>TT",0.00052385156305026
"478","DBS8","AT>NN","AT>CA",4.83228805635077e-11
"479","DBS8","AT>NN","AT>CC",0.000476910341828207
"480","DBS8","AT>NN","AT>CG",0.000225309381012317
"481","DBS8","AT>NN","AT>GA",8.36775349960253e-10
"482","DBS8","AT>NN","AT>GC",0.000404312857843176
"483","DBS8","AT>NN","AT>TA",0.00078608508604836
