"source page","source page title","aetiology_short","aetiology_long","comment","Signature","SignatureVersion","IdentificationStudy","IdentificationStudyURL","ExperimentalValidationStudy","ExperimentalValidationURL","ProposedAetiologySupport","ValidatedInOrthogonalTechniques"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs8/","COSMIC | SBS8 - Mutational Signatures"," HR deficiency / NER deficiency","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS8 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs9/","COSMIC | SBS9 - Mutational Signatures"," Polymerase eta somatic hypermutation","May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells.","Chronic lymphocytic leukaemias that possess immunoglobulin gene hypermutation (IGHV-mutated) have elevated numbers of mutations attributed to SBS9 compared to those that do not have immunoglobulin gene hypermutation.","SBS9 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs10a/","COSMIC | SBS10a - Mutational Signatures"," POLE exonuclease domain mutation","Polymerase epsilon exonuclease domain mutations.","SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators.","SBS10a · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Li et al. 2018 J Clin Invest","https://doi.org/10.1172/jci122095"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs10b/","COSMIC | SBS10b - Mutational Signatures"," POLE exonuclease domain mutation","Polymerase epsilon exonuclease domain mutations.","Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators.","SBS10b · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Li et al. 2018 J Clin Invest","https://doi.org/10.1172/jci122095"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs10c/","COSMIC | SBS10c - Mutational Signatures"," Defective POLD1 proofreading","Defective POLD1 proofreading.","Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.","SBS10c · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Robinson et al. 2021 Nature Genetics","https://doi.org/10.1038/s41588-021-00930-y","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs10d/","COSMIC | SBS10d - Mutational Signatures"," Defective POLD1 proofreading","Adenoma from individuals with germline POLD1 exonuclease domain mutations.","Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.","SBS10d · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Robinson et al. 2021 Nature Genetics","https://doi.org/10.1038/s41588-021-00930-y","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs11/","COSMIC | SBS11 - Mutational Signatures"," Temozolomide chemotherapy / MMR deficiency + temozolomide","SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations.","SBS11 usually generates large numbers of somatic mutations (>10 mutations per MB).","SBS11 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs12/","COSMIC | SBS12 - Mutational Signatures"," Unknown","Unknown.","SBS12 usually contributes a small percentage (<20%) of the mutations observed in liver cancer samples.","SBS12 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs13/","COSMIC | SBS13 - Mutational Signatures"," APOBEC activity","Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil.","SBS13 is usually found in the same samples as SBS2. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well.","SBS13 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Nik-Zainal et al. 2012 Cell","https://doi.org/10.1016/j.cell.2012.04.024","Chan et al. 2015 Nature Genetics","https://doi.org/10.1038/ng.3378"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs14/","COSMIC | SBS14 - Mutational Signatures"," MMR deficiency + POLE mutation","Concurrent polymerase epsilon mutation and defective DNA mismatch repair.","SBS14 mutations are present in very high numbers in all samples in which it has been observed. SBS14 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS15, SBS20, SBS21, SBS26 and SBS44.","SBS14 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Hodel et al. 2020 Molecular Cell","https://doi.org/10.1016/j.molcel.2020.05.012"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs15/","COSMIC | SBS15 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","SBS15 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44.","SBS15 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Meier et al. 2018 Genome Research","https://doi.org/10.1101/gr.226845.117"," Statistical association; Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs16/","COSMIC | SBS16 - Mutational Signatures"," Unknown","Unknown.","In addition to lower levels of nucleotide excision repair on the untranscribed strands of genes, elevated levels of DNA damage on untranscribed strands (compared to the remainder of the genome) may contribute to SBS16. Contamination by SBS16 may still be present in the current version of SBS5.","SBS16 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs17a/","COSMIC | SBS17a - Mutational Signatures"," Damage by ROS","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS17a · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Secrier et al. 2016 Nature Genetics","https://doi.org/10.1038/ng.3659","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs17b/","COSMIC | SBS17b - Mutational Signatures"," Damage by ROS / 5FU chemotherapy","In the vast majority of tumours the aetiology is unknown. However, in some cases, previous studies have associated SBS17b to fluorouracil (5FU) chemotherapy treatment and to damage inflicted by reactive oxygen species.","SBS17b has similarities to SBS28 and these two signatures can be mistaken for one another.","SBS17b · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Secrier et al. 2016 Nature Genetics","https://doi.org/10.1038/ng.3659","Christensen et al. 2019 Nature Communications","https://doi.org/10.1038/s41467-019-12594-8"," Statistical association (ROS) / Experimental studies (5FU)"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs18/","COSMIC | SBS18 - Mutational Signatures"," Damage by ROS","Possibly damage by reactive oxygen species.","Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations.","SBS18 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Kucab et al. 2019 Cell","https://doi.org/10.1016/j.cell.2019.03.001"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs19/","COSMIC | SBS19 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS19 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs20/","COSMIC | SBS20 - Mutational Signatures"," MMR deficiency + POLD1 mutation","Concurrent POLD1 mutations and defective DNA mismatch repair.","SBS20 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44.","SBS20 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Meier et al. 2018 Genome Research","https://doi.org/10.1101/gr.226845.117"," Statistical association; Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs21/","COSMIC | SBS21 - Mutational Signatures"," MMR deficiency","DNA mismatch repair deficiency.","SBS21 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44.","SBS21 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2013 Nature","https://doi.org/10.1038/nature12477","Meier et al. 2018 Genome Research","https://doi.org/10.1101/gr.226845.117"," Statistical association; Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs22/","COSMIC | SBS22 - Mutational Signatures"," Aristolochic acid exposure","Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS22 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Hoang et al. 2013 Sci Trans Med / Poon et al. 2013 Sci Trans Med","https://doi.org/10.1126/scitranslmed.3006810","Nik-Zainal et al. 2015 Mutagenesis","https://doi.org/10.1093/mutage/gev073"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs23/","COSMIC | SBS23 - Mutational Signatures"," Unknown","Unknown.","SBS23 exhibits strong transcriptional strand bias for C>T mutations with more mutations of G than C on the untranscribed strands of genes consistent with damage to guanine and repair by transcription-coupled nucleotide excision repair. Please note that SBS23 has only been found in exome sequencing data and, as such, the transcriptional strand bias reflects the one observed in the coding regions of the genome.","SBS23 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs24/","COSMIC | SBS24 - Mutational Signatures"," Aflatoxin exposure","Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS24 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","Chawanthayatham et al. 2017 PNAS","https://doi.org/10.1073/pnas.1700759114"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs25/","COSMIC | SBS25 - Mutational Signatures"," Unknown chemotherapy","Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment.","This signature has only been identified in Hodgkin’s cell lines. Data is not available from primary Hodgkin lymphomas.","SBS25 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs26/","COSMIC | SBS26 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44.","SBS26 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","Meier et al. 2018 Genome Research","https://doi.org/10.1101/gr.226845.117"," Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs28/","COSMIC | SBS28 - Mutational Signatures"," POLE exonuclease domain mutation","Unknown.","SBS28 has similarities to SBS17b and these two signatures can be mistaken for one another. Signature SBS28 is found in most samples with SBS10a/SBS10b where it contributes very high numbers of mutations. In contrast, SBS28 contributes much smaller number of mutations in samples lacking SBS10a/SBS10b .","SBS28 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","Hodel et al. 2020 Molecular Cell","https://doi.org/10.1016/j.molcel.2020.05.012"," Experimental studies"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs29/","COSMIC | SBS29 - Mutational Signatures"," Tobacco chewing","SBS29 has been found in cancer samples from individuals with a tobacco chewing habit.","The pattern of C>A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by SBS4.","SBS29 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs30/","COSMIC | SBS30 - Mutational Signatures"," BER deficiency","SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS30 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","Drost et al. 2017 Science","https://doi.org/10.1126/science.aao3130"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs31/","COSMIC | SBS31 - Mutational Signatures"," Platinum chemotherapy","Prior chemotherapy treatment with platinum drugs.","SBS31 exhibits a pattern of mutations similar to components of SBS35 and both may be due to platinum drug treatment.","SBS31 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Boot et al. 2018 Genome Research","https://doi.org/10.1101/gr.230219.117","Boot et al. 2018 Genome Research","https://doi.org/10.1101/gr.230219.117"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs32/","COSMIC | SBS32 - Mutational Signatures"," Azathioprine exposure","Prior treatment with azathioprine to induce immunosuppression.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS32 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Inman et al. 2018 Nature Communications","https://doi.org/10.1038/s41467-018-06027-1","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs33/","COSMIC | SBS33 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS33 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs34/","COSMIC | SBS34 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS34 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs35/","COSMIC | SBS35 - Mutational Signatures"," Platinum chemotherapy","Prior chemotherapy treatment with platinum drugs.","SBS35 exhibits a pattern of mutations that encompasses SBS31 and both may be due to platinum drug treatment.","SBS35 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Boot et al. 2018 Genome Research","https://doi.org/10.1101/gr.230219.117","Boot et al. 2018 Genome Research","https://doi.org/10.1101/gr.230219.117"," Experimental confirmation"," Yes"
