signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
CN11,unknown,unknown,Unknown,"CN11 is a focal LOH signature, indicating loss events before two genome doubling events. As such, CN11 is associated with twice-genome-doubled samples, and with regions of the genome that are LOH. In addition, CN11 is associated with the deletion rearrangement class (seeHadi et al., 2020)","CN11 is recurrently seen around tumour suppressor genes e.g. CDKN2A, RB1, TP53 and STK11 in combination with other focal LOH signatures",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN11 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN12,unknown,unknown,Unknown,,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN12 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN13,chromosomal,chromosomal_losses,Chromosomal losses,"CN13 is a chromosomal-scale LOH signature, indicating losses before a whole genome doubling event. As such, CN13 is associated with non-genome-doubled samples, and with regions of the genome that are LOH",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN13 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN14,chromosomal,chromosomal_losses,Chromosomal losses,"CN14 is a chromosomal LOH signature, indicating chromosomal- or arm-scale losses before a whole genome doubling event. As such, CN14 is associated with once-genome-doubled samples and with regions of the genome that are LOH",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN14 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN15,chromosomal,chromosomal_losses,Chromosomal losses,"CN15 is a chromosomal LOH signature, indicating chromosomal- or arm-scale losses before two whole genome doubling events. As such, CN15 is associated with samples that are twice-genome-doubled, and regions of the genome that are LOH. In addition, CN15 can be obtained by artificially genome doubling CN14",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN15 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN16,chromosomal,chromosomal_losses,Chromosomal losses,"CN16 is a chromosomal LOH signature, indicating chromosomal- or arm-scale losses before two genome doubling events. CN16 is similar to CN15, but with retention of heterozygous large segments, indicating retained chromosomes. If there were a signature that appeared similar to the heterozygous portion of this signature, then CN16 would be decomposed into that signature and CN16, however, such genomically stable heterozygous segments are rare in twice-genome-doubled samples",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN16 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN17,dysfunctional_dna_repair,HR,HR deficiency,"CN17 is a signature of homologous recombination deficiency (HRD). Evidence for this comes from positive associations with mono- or bi-allelic losses of BRCA1, BRCA2, PALB2, FBXW7 and CDK12, a positive association with HR pathway abrogation more generally, and the strongest positive association with scarHRD scores (a score of genomic scars of homologous recombination deficiency, see Sztupinszki et al., 2018). In addition, CN17 associates with promoter hypermethylation of BRCA1 in breast cancer, and with SBS3 (a single base substitution signature associates with homologous recombination deficiency), ID6 (an indel signature associated with homologous recombination deficiency), and ID8 (an indel signature associated with non homologous end joining, which is often preferred when homologous recombination is unavailable) in whole-genome-sequencing derived signature assignments. In addition, CN17 is positively associated with SBS2 and SBS13 (single base substitution signatures associates with APOBEC activity, and often observed near rearrangements/double strand breaks) in exome-derived signature assignments. CN17 is further positively associates with TP53 mutations in multiple cancers. CN17 is also associated with deletion and duplication rearrangement classes (see Hadi et al., 2020), similar to other CIN signatures, and indeed, CN17 is observed in a minority of high CIN simulations","In addition to HRD, CN17 is also associated with increased hypoxia levels (see Eustace et al., 2013 & Yang et al., 2018). Hypoxia has been shown to downregulate homologous recombination (see Bindra et al., 2004), making it possible that some of the attribution of CN17 is related to hypoxia as opposed to true HRD, however, associations with e.g. BRCA1 mutation status, suggest CN17 is at least partially a true signature of HRD",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN17 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WES",No,-,-
CN18,unknown,unknown,Unknown,"CN18 is a signature with unknown aetiology. However, this signature positively associates with scarHRD scores (a measure of genomic scars of homologous recombination deficiency, see Sztupinszki et al., 2018), and with hypoxia scores (see Eustace et al., 2013 & Yang et al., 2018). In addition, CN18 is associated with twice-genome-doubled samples, and was observed in simulations of CIN with two genome doubling events. Lastly CN18 associates with TP53 mutation in breast cancer",NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN18 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WGS",No,-,-
CN19,unknown,unknown,Unknown,"CN19 is a signature with unknown aetiology. However, CN19 is associated with high scarHRD scores (a measure of genomic scars of homologous recombination deficiency, see Sztupinszki et al., 2018), with the tandem duplicator phenotype (see Menghi et al., 2018), with the pyrgo rearrangement phenomenon (see Hadi et al., 2020) and with samples that are once-genome-doubled","In addition, CN19 is associated with poor prognosis in a pan-cancer multivariate association, and with patients with black ancestry as compared to those with white ancestry",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN19 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN20,unknown,unknown,Unknown,"CN20 is a signature with unknown aetiology. However, CN20 is associated with samples that are once-genome-doubled, with the pyrgo rearrangement phenomenon (see Hadi et al., 2020), with the tandem duplicator phenotype (see Menghi et al., 2018), and is observed in simulations of high CIN after genome doubling","CN20 is negatively associated with regions of the genome that are LOH, and is positively associated with tumours from patients with black ancestry as opposed to white ancestry",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN20 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WGS",No,-,-
CN21,unknown,unknown,Unknown,,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/cn/,CN21 · GRCh37 · COSMIC v100,Number of segments attributed to the copy number signature across the cancer types in which it was found. Each dot represents an individual sample and only samples where the signature is found are shown,Steele et al. 2022 Nature,v3.3,"SNP6, WGS",No,-,-
CN25,dysfunctional_dna_repair,MMR,MMR deficiency,CN25 is associated with MSH6 inactivation and dMMR,"CN25 is composed of <1Mb loss of heterozygosity (LOH) deletions (similar to CN9 involving LoH >1Mb), which is indicative of chromothripsis. However, unlike other chromothripsis-associated CN signatures, CN4 and CN8, CN25 is composed of low total copy number states with single copy LOH and diploid heterozygous states",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/cn/,CN25 · GRCh37 · COSMIC v100,"Feature of CNS, connective tissue, and prostate cancers",Everall et al. 2023 MedRxiv,v3.4,WGS,No,-,-
CN22,artefact,oversegmentation,Oversegmentation artefact,"CN22 was found in samples that showed evidence of copy number profile oversegmentation, usually as a result of noisy SNP6 profiling",NA,Mutational Signatures (v3.4 - October 2023),Visual inspection of profiles,https://cancer.sanger.ac.uk/signatures/cn/,CN22 · GRCh37 · COSMIC v100,NA,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN23,artefact,oversegmentation,Oversegmentation artefact,"CN23 was found in samples that showed evidence of copy number profile oversegmentation, usually as a result of noisy SNP6 profiling",NA,Mutational Signatures (v3.4 - October 2023),Visual inspection of profiles,https://cancer.sanger.ac.uk/signatures/cn/,CN23 · GRCh37 · COSMIC v100,NA,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
CN24,artefact,oversegmentation,Oversegmentation artefact,"CN24 was found in samples that showed evidence of copy number profile oversegmentation, usually as a result of noisy SNP6 profiling",NA,Mutational Signatures (v3.4 - October 2023),Visual inspection of profiles,https://cancer.sanger.ac.uk/signatures/cn/,CN24 · GRCh37 · COSMIC v100,NA,Steele et al. 2022 Nature,v3.3,SNP6,No,-,-
