signature,aetiology,class,subclass
cisplatin_b0e97f98900a,cisplatin,?,?
cisplatin_cb35f5e148e9,cisplatin,?,?
cisplatin_f1b11299f53c,cisplatin,?,?
cisplatin_fcaa67b2a813,cisplatin,?,?
dimethyl_sulfate_147c9a209d29,dimethyl,?,?
dimethyl_sulfate_283360e0f939,dimethyl,?,?
dimethyl_sulfate_3ad7624dc405,dimethyl,?,?
dimethyl_sulfate_4ff1d178442d,dimethyl,?,?
dimethyl_sulfate_57b20bf6f138,dimethyl,?,?
dimethyl_sulfate_6ac3414510f7,dimethyl,?,?
dimethyl_sulfate_854d9dc3e410,dimethyl,?,?
dimethyl_sulfate_87e952a1279e,dimethyl,?,?
dimethyl_sulfate_8f70b2ccfd3b,dimethyl,?,?
dimethyl_sulfate_922cb1e71cc5,dimethyl,?,?
dimethyl_sulfate_96d9c10a5104,dimethyl,?,?
dimethyl_sulfate_a6a0f7a1d401,dimethyl,?,?
dimethyl_sulfate_a6f03c52b7a0,dimethyl,?,?
dimethyl_sulfate_a8c36a17af71,dimethyl,?,?
dimethyl_sulfate_ac7d9c0dd31a,dimethyl,?,?
dimethyl_sulfate_b051374a34bd,dimethyl,?,?
dimethyl_sulfate_b5c9d75eb461,dimethyl,?,?
dimethyl_sulfate_b8cd441fe3a2,dimethyl,?,?
dimethyl_sulfate_bd755a64c978,dimethyl,?,?
dimethyl_sulfate_c699bfb5e932,dimethyl,?,?
dimethyl_sulfate_ca3575ac7798,dimethyl,?,?
dimethyl_sulfate_ddfe515c43ca,dimethyl,?,?
dimethyl_sulfate_ed6d19ea4809,dimethyl,?,?
dimethyl_sulfate_f66226d25c5c,dimethyl,?,?
dimethyl_sulfate_fbfb967eb13a,dimethyl,?,?
dimethyl_sulfate_fd0a2da2e112,dimethyl,?,?
dimethyl_sulfate_ff0db833e99b,dimethyl,?,?
EMS_EMS_exposed_combined,EMS,?,?
EMS_MMS_exposed_combined,EMS,?,?
ethyl_methanesulfonate_0629e14b53e2,ethyl,?,?
ethyl_methanesulfonate_0c3b0cc5b682,ethyl,?,?
ethyl_methanesulfonate_0fdb0064799a,ethyl,?,?
ethyl_methanesulfonate_13c38ce0bdf1,ethyl,?,?
ethyl_methanesulfonate_1f9f2340860c,ethyl,?,?
ethyl_methanesulfonate_27fc85267b43,ethyl,?,?
ethyl_methanesulfonate_2815dc7a724f,ethyl,?,?
ethyl_methanesulfonate_3145918c6cbf,ethyl,?,?
ethyl_methanesulfonate_3287997d3fbc,ethyl,?,?
ethyl_methanesulfonate_3eff8494c173,ethyl,?,?
ethyl_methanesulfonate_58ab5a10ff49,ethyl,?,?
ethyl_methanesulfonate_5974ea1af60b,ethyl,?,?
ethyl_methanesulfonate_5bb878bcaa48,ethyl,?,?
ethyl_methanesulfonate_5d0675eea222,ethyl,?,?
ethyl_methanesulfonate_60f9f064bff5,ethyl,?,?
ethyl_methanesulfonate_705cfcdc56bc,ethyl,?,?
ethyl_methanesulfonate_87d8925c4e62,ethyl,?,?
ethyl_methanesulfonate_990e43f7fd07,ethyl,?,?
ethyl_methanesulfonate_99252f5ae56d,ethyl,?,?
ethyl_methanesulfonate_996dc71af6ea,ethyl,?,?
ethyl_methanesulfonate_9d8149bb3afc,ethyl,?,?
ethyl_methanesulfonate_9e31fa151df3,ethyl,?,?
ethyl_methanesulfonate_ae96d03e1e59,ethyl,?,?
ethyl_methanesulfonate_b25baf885d59,ethyl,?,?
ethyl_methanesulfonate_b86f205e96c5,ethyl,?,?
ethyl_methanesulfonate_c6e627089361,ethyl,?,?
ethyl_methanesulfonate_cc1e651935f4,ethyl,?,?
ethyl_methanesulfonate_d45a1328fab2,ethyl,?,?
ethyl_methanesulfonate_dfc3dfc1e16c,ethyl,?,?
ethyl_methanesulfonate_e8604321bc02,ethyl,?,?
ethyl_methanesulfonate_f079e6e523ec,ethyl,?,?
ethyl_methanesulfonate_fb55d4d01de7,ethyl,?,?
gammaray_007acc3ee7cb,gammaray,?,?
gammaray_079363654705,gammaray,?,?
gammaray_0e2ad4d6fe4b,gammaray,?,?
gammaray_1597c928efe8,gammaray,?,?
gammaray_16c973e86a1b,gammaray,?,?
gammaray_184e886f4740,gammaray,?,?
gammaray_18623e5589ff,gammaray,?,?
gammaray_19b661aaf34e,gammaray,?,?
gammaray_2266956a5f95,gammaray,?,?
gammaray_28d06bf7aaf5,gammaray,?,?
gammaray_301494496c3c,gammaray,?,?
gammaray_31f6a02db41d,gammaray,?,?
gammaray_33bfe2217f69,gammaray,?,?
gammaray_35af9fc073ac,gammaray,?,?
gammaray_3842991eef1d,gammaray,?,?
gammaray_3863e31a6c9e,gammaray,?,?
gammaray_426c4ee972bf,gammaray,?,?
gammaray_4d3525352f6d,gammaray,?,?
gammaray_503fd712dbba,gammaray,?,?
gammaray_5938edee7116,gammaray,?,?
gammaray_59703bdf3b69,gammaray,?,?
gammaray_5e90391206fd,gammaray,?,?
gammaray_5f02f5a8bc56,gammaray,?,?
gammaray_61549943deb5,gammaray,?,?
gammaray_6360c111c0c6,gammaray,?,?
gammaray_6a70ce0303f4,gammaray,?,?
gammaray_6d777eb31e0d,gammaray,?,?
gammaray_6fbe71346d5a,gammaray,?,?
gammaray_712ecdc7167d,gammaray,?,?
gammaray_781c1d5e36c6,gammaray,?,?
gammaray_7b6037303a13,gammaray,?,?
gammaray_805fd4151568,gammaray,?,?
gammaray_883252572efc,gammaray,?,?
gammaray_8b51749ac0d8,gammaray,?,?
gammaray_a063c2deac30,gammaray,?,?
gammaray_ac3d3c0905ce,gammaray,?,?
gammaray_ac9e7ad993a0,gammaray,?,?
gammaray_aceac613e7d0,gammaray,?,?
gammaray_bd1ad3998603,gammaray,?,?
gammaray_c24d0a751118,gammaray,?,?
gammaray_c27ec7f0c1ee,gammaray,?,?
gammaray_cbf343bb7e02,gammaray,?,?
gammaray_d5c4a6dacabd,gammaray,?,?
gammaray_e19aeec570c9,gammaray,?,?
gammaray_e9ae440b9020,gammaray,?,?
gammaray_ef8f297e1689,gammaray,?,?
gammaray_f430816bdc73,gammaray,?,?
gammaray_f6d328085bc8,gammaray,?,?
hydroxyurea_0271bcc62312,hydroxyurea,?,?
hydroxyurea_0e210d4dc3d6,hydroxyurea,?,?
hydroxyurea_65a518e3d97f,hydroxyurea,?,?
hydroxyurea_6fffa70b2608,hydroxyurea,?,?
hydroxyurea_c54906fe1e6f,hydroxyurea,?,?
hydroxyurea_d9fd0d6a7068,hydroxyurea,?,?
mechlorethamine_257d1cdac9db,mechlorethamine,?,?
mechlorethamine_50429bc4cea4,mechlorethamine,?,?
mechlorethamine_e9dcae2fc993,mechlorethamine,?,?
methyl_methanesulfonate_05b8ab94708c,methyl,?,?
methyl_methanesulfonate_08cf39e1f4e2,methyl,?,?
methyl_methanesulfonate_141807615ba3,methyl,?,?
methyl_methanesulfonate_1cb191da5c78,methyl,?,?
methyl_methanesulfonate_1d8afde7e59f,methyl,?,?
methyl_methanesulfonate_1ff4e8966a81,methyl,?,?
methyl_methanesulfonate_293bf287e655,methyl,?,?
methyl_methanesulfonate_2d6d9495e359,methyl,?,?
methyl_methanesulfonate_36c46fad0b57,methyl,?,?
methyl_methanesulfonate_36f2ff1a89aa,methyl,?,?
methyl_methanesulfonate_4147681b9e8c,methyl,?,?
methyl_methanesulfonate_4633dfac5faa,methyl,?,?
methyl_methanesulfonate_56ac1f9179b3,methyl,?,?
methyl_methanesulfonate_57216259426e,methyl,?,?
methyl_methanesulfonate_5821c84e1c5c,methyl,?,?
methyl_methanesulfonate_5bd805e7d678,methyl,?,?
methyl_methanesulfonate_5fd0c067e780,methyl,?,?
methyl_methanesulfonate_722fcd293cf4,methyl,?,?
methyl_methanesulfonate_7e34346c2026,methyl,?,?
methyl_methanesulfonate_802476efdcba,methyl,?,?
methyl_methanesulfonate_84f0d094f2b4,methyl,?,?
methyl_methanesulfonate_869528465169,methyl,?,?
methyl_methanesulfonate_9fcd54a6137f,methyl,?,?
methyl_methanesulfonate_a53d23d2fa01,methyl,?,?
methyl_methanesulfonate_a7750d9959cf,methyl,?,?
methyl_methanesulfonate_abd578defec7,methyl,?,?
methyl_methanesulfonate_b76a9d5ae34b,methyl,?,?
methyl_methanesulfonate_b7e110026448,methyl,?,?
methyl_methanesulfonate_b8c204523bf9,methyl,?,?
methyl_methanesulfonate_bc99a27b2d5c,methyl,?,?
methyl_methanesulfonate_c3ce1142090a,methyl,?,?
methyl_methanesulfonate_cfdfd3c25576,methyl,?,?
methyl_methanesulfonate_db1af9894cb4,methyl,?,?
methyl_methanesulfonate_e8602dc8c1c3,methyl,?,?
methyl_methanesulfonate_f168812a0a80,methyl,?,?
methyl_methanesulfonate_f688107e8928,methyl,?,?
methyl_methanesulfonate_fa8c0e8400a7,methyl,?,?
mitomycin_c_cd74b2ae8ef3,mitomycin,?,?
no_treatment_00efb2289d83,no,?,?
no_treatment_05e06a830c84,no,?,?
no_treatment_081fb9c20def,no,?,?
no_treatment_08f7ce675b7c,no,?,?
no_treatment_0ad2fcf9f936,no,?,?
no_treatment_11db7bf556b9,no,?,?
no_treatment_1503261cd5de,no,?,?
no_treatment_18846446ef27,no,?,?
no_treatment_25392bf7247d,no,?,?
no_treatment_289b607b8ef7,no,?,?
no_treatment_33c965638639,no,?,?
no_treatment_37fab0205073,no,?,?
no_treatment_3949822aaae3,no,?,?
no_treatment_3af8c52e150f,no,?,?
no_treatment_3b47af3028ac,no,?,?
no_treatment_3f284e1dd5da,no,?,?
no_treatment_44c0098c8505,no,?,?
no_treatment_4702c13970b2,no,?,?
no_treatment_4aa0c9b42b1d,no,?,?
no_treatment_53ad396614b5,no,?,?
no_treatment_5a64187ee488,no,?,?
no_treatment_5cae0404488e,no,?,?
no_treatment_6c6dccb29b20,no,?,?
no_treatment_72c0869ab38f,no,?,?
no_treatment_73ef42b25fee,no,?,?
no_treatment_7773a26a38f5,no,?,?
no_treatment_7944508a3526,no,?,?
no_treatment_7b7980714b43,no,?,?
no_treatment_92b6fe244406,no,?,?
no_treatment_993ef3627b21,no,?,?
no_treatment_9b30be6a86ef,no,?,?
no_treatment_9ecfc0c76d52,no,?,?
no_treatment_a1d9ecd4545a,no,?,?
no_treatment_a66d23e00d4f,no,?,?
no_treatment_a6b3824f87b9,no,?,?
no_treatment_ab893d83b1dd,no,?,?
no_treatment_ac734fa60567,no,?,?
no_treatment_b4273a1384ba,no,?,?
no_treatment_b77c030eee74,no,?,?
no_treatment_b97e15b8f099,no,?,?
no_treatment_b9c8e79ed6d5,no,?,?
no_treatment_bb29fe023c61,no,?,?
no_treatment_bf2659429014,no,?,?
no_treatment_c34752d8b66d,no,?,?
no_treatment_d1a39efa89f6,no,?,?
no_treatment_e63f0934449f,no,?,?
no_treatment_ed2f9d318623,no,?,?
no_treatment_f2bf353a9fb7,no,?,?
no_treatment_f99fa9238672,no,?,?
no_treatment_fa58689a4f1b,no,?,?
no_treatment_fa721be99405,no,?,?
no_treatment_fdfafe7e015c,no,?,?
uvb_0059ca16a012,uvb,?,?
uvb_057b0cbdbdc9,uvb,?,?
uvb_0da1efb962d7,uvb,?,?
uvb_2695e0f35938,uvb,?,?
uvb_2f5755f1750a,uvb,?,?
uvb_65cfe09847a9,uvb,?,?
uvb_669669e19895,uvb,?,?
uvb_76aa02a1db34,uvb,?,?
uvb_7c89cfd88fd6,uvb,?,?
uvb_b1e3757def9d,uvb,?,?
uvb_eac318ac5c6f,uvb,?,?
xray_7881ab207947,xray,?,?
xray_89581a9f262e,xray,?,?
xray_d4439c90faff,xray,?,?
