signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
ID11,unknown,unknown,Unknown,Unknown,Occasional samples show large numbers of ID11 mutations without obvious evidence of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID11 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID12,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID12 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID13,environmental_mutagens,UV,UV light exposure,"ID13 is found in cancers of the skin from sun exposed areas, therefore, this signature is likely to be due to exposure to ultraviolet light",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID13 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID14,unknown,unknown,Unknown,Unknown,ID14 generates large numbers of indels in a small number of samples without obvious evidence of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID14 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID15,unknown,unknown,Unknown,Unknown,ID15 generates a large number of indels in a small number of cancers without obvious evidence of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID15 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID16,unknown,unknown,Unknown,Unknown,ID16 generates high number of indels in a single ovarian cancer without obvious evidence of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID16 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
ID17,dysfunctional_epigenetics,topology,TOP2A mutation,"Appears to be caused by mutations in topoisomerase TOP2A. All tumours with ID17 have the somatic TOP2A p.K743N mutation, and tumours with this mutation have ID17. ID17 exhibits probable transcription-associated damage as evidenced by higher mutation density in more highly expressed genes. Studies of topoisomerase variants in yeast support the connection between TOP2A and ID17",ID17 generates a large number of indels in a small number of cancers without obvious evidence of defective DNA mismatch repair,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/id/,ID17 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,Stantial et al. 2020 PNAS,Yeast
ID18,plants_and_microbes,colibactin,Colibactin exposure,"Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin",Strong preference for adenines 5' of homopolymer containing the deletion,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/id/,ID18 · GRCh37 · COSMIC v100,"Mainly found in colorectal cancers and normal colorectal epithelial cells, as well as in some samples derived from head and neck cancer, urinary tract cancer and oral squamous cell carcinoma",Lee-Six et al. 2019 Nature / Pleguezuelos-Manzano et al. 2020 Nature / Boot et al. 2020 Genome Research,v3.1,WGS,Yes,Pleguezuelos-Manzano et al. 2020 Nature,Human
ID19,unknown,unknown,Unknown,Unknown,ID19 is primarily composed of 5 base pair insertions,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID19 · GRCh37 · COSMIC v100,"Found in haematological cancers and sarcomas, and a small fraction of other tumour groups",Everall et al. 2023 MedRxiv,v3.4,WGS,No,-,-
ID20,unknown,unknown,Unknown,Unknown,ID20 is primarily composed of single base C insertions,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID20 · GRCh37 · COSMIC v100,"Found in a small fraction of breast, kidney, lung, and prostate cancers",Everall et al. 2023 MedRxiv,v3.4,WGS,No,-,-
ID21,unknown,unknown,Unknown,Unknown,ID21 is unique in being composed of 2-4bp deletions in double-repeats,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID21 · GRCh37 · COSMIC v100,Common in CNS but also found in a smaller fraction of several other tumour groups,Everall et al. 2023 MedRxiv,v3.4,WGS,No,-,-
ID22,unknown,unknown,Unknown,Unknown,ID22 is primarily composed of 3 or 4 base pair insertions,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/id/,ID22 · GRCh37 · COSMIC v100,Found in a small fraction of breast cancers,Everall et al. 2023 MedRxiv,v3.4,WGS,No,-,-
ID23,environmental_mutagens,,Aristolochic acid exposure,Aristolochic acid exposure,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/id/,ID23 · GRCh37 · COSMIC v100,Identified in clear cell renal cell carcinomas,Senkin et al. 2023 MedRxiv,v3.4,WGS,No,-,-
