signature,class,subclass,aetiology,aetiology_long,comment,SignatureVersion,IdentificationStudy,IdentificationStudyURL,ExperimentalValidationStudy,ExperimentalValidationURL,ProposedAetiologySupport,ValidatedInOrthogonalTechniques,source page
SBS8,unknown,unknown, HR deficiency / NER deficiency,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs8/
SBS9,dysfunctional_dna_replication,polymerase_mutations, Polymerase eta somatic hypermutation,May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells.,Chronic lymphocytic leukaemias that possess immunoglobulin gene hypermutation (IGHV-mutated) have elevated numbers of mutations attributed to SBS9 compared to those that do not have immunoglobulin gene hypermutation.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs9/
SBS10a,dysfunctional_dna_replication,polymerase_mutations, POLE exonuclease domain mutation,Polymerase epsilon exonuclease domain mutations.,SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,Li et al. 2018 J Clin Invest,https://doi.org/10.1172/jci122095, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs10a/
SBS10b,dysfunctional_dna_replication,polymerase_mutations, POLE exonuclease domain mutation,Polymerase epsilon exonuclease domain mutations.,Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,Li et al. 2018 J Clin Invest,https://doi.org/10.1172/jci122095, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs10b/
SBS10c,dysfunctional_dna_replication,proofreading, Defective POLD1 proofreading,Defective POLD1 proofreading.,Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.,Mutational Signatures (v3.3 - June 2022),Robinson et al. 2021 Nature Genetics,https://doi.org/10.1038/s41588-021-00930-y,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs10c/
SBS10d,dysfunctional_dna_replication,proofreading, Defective POLD1 proofreading,Adenoma from individuals with germline POLD1 exonuclease domain mutations.,Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions.,Mutational Signatures (v3.3 - June 2022),Robinson et al. 2021 Nature Genetics,https://doi.org/10.1038/s41588-021-00930-y,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs10d/
SBS11,treatment_associated,triazenes, Temozolomide chemotherapy / MMR deficiency + temozolomide,SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations.,SBS11 usually generates large numbers of somatic mutations (>10 mutations per MB).,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Kucab et al. 2019 Cell,https://doi.org/10.1016/j.cell.2019.03.001, Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs11/
SBS12,unknown,unknown, Unknown,Unknown.,SBS12 usually contributes a small percentage (<20%) of the mutations observed in liver cancer samples.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs12/
SBS13,cytidine_deaminases,cytidine_deaminases, APOBEC activity,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil.","SBS13 is usually found in the same samples as SBS2. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well.",Mutational Signatures (v3.3 - June 2022),Nik-Zainal et al. 2012 Cell,https://doi.org/10.1016/j.cell.2012.04.024,Chan et al. 2015 Nature Genetics,https://doi.org/10.1038/ng.3378, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs13/
SBS14,dysfunctional_dna_repair,MMR, MMR deficiency + POLE mutation,Concurrent polymerase epsilon mutation and defective DNA mismatch repair.,"SBS14 mutations are present in very high numbers in all samples in which it has been observed. SBS14 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS15, SBS20, SBS21, SBS26 and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Hodel et al. 2020 Molecular Cell,https://doi.org/10.1016/j.molcel.2020.05.012, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs14/
SBS15,dysfunctional_dna_repair,MMR, MMR deficiency,Defective DNA mismatch repair.,"SBS15 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Meier et al. 2018 Genome Research,https://doi.org/10.1101/gr.226845.117, Statistical association; Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs15/
SBS16,unknown,unknown, Unknown,Unknown.,"In addition to lower levels of nucleotide excision repair on the untranscribed strands of genes, elevated levels of DNA damage on untranscribed strands (compared to the remainder of the genome) may contribute to SBS16. Contamination by SBS16 may still be present in the current version of SBS5.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs16/
SBS17a,immune,ROS, Damage by ROS,Unknown.,,Mutational Signatures (v3.3 - June 2022),Secrier et al. 2016 Nature Genetics,https://doi.org/10.1038/ng.3659,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs17a/
SBS17b,treatment_associated,chemotherapy_pyrimidine_antagonists, Damage by ROS / 5FU chemotherapy,"In the vast majority of tumours the aetiology is unknown. However, in some cases, previous studies have associated SBS17b to fluorouracil (5FU) chemotherapy treatment and to damage inflicted by reactive oxygen species.",SBS17b has similarities to SBS28 and these two signatures can be mistaken for one another.,Mutational Signatures (v3.3 - June 2022),Secrier et al. 2016 Nature Genetics,https://doi.org/10.1038/ng.3659,Christensen et al. 2019 Nature Communications,https://doi.org/10.1038/s41467-019-12594-8, Statistical association (ROS) / Experimental studies (5FU), Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs17b/
SBS18,immune,ROS, Damage by ROS,Possibly damage by reactive oxygen species.,Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Kucab et al. 2019 Cell,https://doi.org/10.1016/j.cell.2019.03.001, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs18/
SBS19,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs19/
SBS20,dysfunctional_dna_repair,MMR, MMR deficiency + POLD1 mutation,Concurrent POLD1 mutations and defective DNA mismatch repair.,"SBS20 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Meier et al. 2018 Genome Research,https://doi.org/10.1101/gr.226845.117, Statistical association; Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs20/
SBS21,dysfunctional_dna_repair,MMR, MMR deficiency,DNA mismatch repair deficiency.,"SBS21 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2013 Nature,https://doi.org/10.1038/nature12477,Meier et al. 2018 Genome Research,https://doi.org/10.1101/gr.226845.117, Statistical association; Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs21/
SBS22,plants_and_microbes,aristolochic_acid, Aristolochic acid exposure,Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.,,Mutational Signatures (v3.3 - June 2022),Hoang et al. 2013 Sci Trans Med / Poon et al. 2013 Sci Trans Med,https://doi.org/10.1126/scitranslmed.3006810,Nik-Zainal et al. 2015 Mutagenesis,https://doi.org/10.1093/mutage/gev073, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs22/
SBS23,unknown,unknown, Unknown,Unknown.,"SBS23 exhibits strong transcriptional strand bias for C>T mutations with more mutations of G than C on the untranscribed strands of genes consistent with damage to guanine and repair by transcription-coupled nucleotide excision repair. Please note that SBS23 has only been found in exome sequencing data and, as such, the transcriptional strand bias reflects the one observed in the coding regions of the genome.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs23/
SBS24,plants_and_microbes,aflatoxin, Aflatoxin exposure,Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,Chawanthayatham et al. 2017 PNAS,https://doi.org/10.1073/pnas.1700759114, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs24/
SBS25,treatment_associated,chemotherapy_unknown, Unknown chemotherapy,"Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment.",This signature has only been identified in Hodgkin’s cell lines. Data is not available from primary Hodgkin lymphomas.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs25/
SBS26,dysfunctional_dna_repair,MMR, MMR deficiency,Defective DNA mismatch repair.,"SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,Meier et al. 2018 Genome Research,https://doi.org/10.1101/gr.226845.117, Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs26/
SBS28,dysfunctional_dna_replication,polymerase_mutations, POLE exonuclease domain mutation,Unknown.,"SBS28 has similarities to SBS17b and these two signatures can be mistaken for one another. Signature SBS28 is found in most samples with SBS10a/SBS10b where it contributes very high numbers of mutations. In contrast, SBS28 contributes much smaller number of mutations in samples lacking SBS10a/SBS10b .",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,Hodel et al. 2020 Molecular Cell,https://doi.org/10.1016/j.molcel.2020.05.012, Experimental studies, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs28/
SBS29,environmental_mutagens,tobacco, Tobacco chewing,SBS29 has been found in cancer samples from individuals with a tobacco chewing habit.,The pattern of C>A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by SBS4.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs29/
SBS30,dysfunctional_dna_repair,BER, BER deficiency,SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,Drost et al. 2017 Science,https://doi.org/10.1126/science.aao3130, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs30/
SBS31,treatment_associated,chemotherapy_platinum, Platinum chemotherapy,Prior chemotherapy treatment with platinum drugs.,SBS31 exhibits a pattern of mutations similar to components of SBS35 and both may be due to platinum drug treatment.,Mutational Signatures (v3.3 - June 2022),Boot et al. 2018 Genome Research,https://doi.org/10.1101/gr.230219.117,Boot et al. 2018 Genome Research,https://doi.org/10.1101/gr.230219.117, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs31/
SBS32,treatment_associated,immunosuppression, Azathioprine exposure,Prior treatment with azathioprine to induce immunosuppression.,,Mutational Signatures (v3.3 - June 2022),Inman et al. 2018 Nature Communications,https://doi.org/10.1038/s41467-018-06027-1,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs32/
SBS33,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs33/
SBS34,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs34/
SBS35,treatment_associated,chemotherapy_platinum, Platinum chemotherapy,Prior chemotherapy treatment with platinum drugs.,SBS35 exhibits a pattern of mutations that encompasses SBS31 and both may be due to platinum drug treatment.,Mutational Signatures (v3.3 - June 2022),Boot et al. 2018 Genome Research,https://doi.org/10.1101/gr.230219.117,Boot et al. 2018 Genome Research,https://doi.org/10.1101/gr.230219.117, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs35/
SBS36,dysfunctional_dna_repair,BER, BER deficiency,"Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations.","Similar to SBS18, which has been proposed to be due to reactive oxygen species induced DNA damage.",Mutational Signatures (v3.3 - June 2022),Viel et al. 2017 EBioMedicine / Pilati et al. 2017 Journal of Pathology,https://doi.org/10.1016/j.ebiom.2017.04.022,Pilati et al. 2017 Journal of Pathology,https://doi.org/10.1002/path.4880, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs36/
SBS37,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs37/
SBS38,environmental_mutagens,UV, UV light exposure (indirect effect),Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Co-occurrence with SBS7a/b, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs38/
SBS39,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs39/
SBS40,unknown,unknown, Unknown,Unknown.,Numbers of mutations attributed to SBS40 are correlated with patients’ ages for some types of human cancer.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs40/
SBS41,unknown,unknown, Unknown,Unknown.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs41/
SBS42,environmental_mutagens,haloalkanes, Haloalkanes exposure,Occupational exposure to haloalkanes.,,Mutational Signatures (v3.3 - June 2022),Mimaki et al. 2016 Carcinogenesis,https://doi.org/10.1093/carcin/bgw066,Mimaki et al. 2016 Carcinogenesis,https://doi.org/10.1093/carcin/bgw066, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs42/
SBS44,dysfunctional_dna_repair,MMR, MMR deficiency,Defective DNA mismatch repair.,"SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26.",Mutational Signatures (v3.3 - June 2022),Drost et al. 2017 Science,https://doi.org/10.1126/science.aao3130,Drost et al. 2017 Science,https://doi.org/10.1126/science.aao3130, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs44/
SBS84,cytidine_deaminases,cytidine_deaminases, AID activity,Activity of activation-induced cytidine deaminase (AID).,SBS84 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.,Mutational Signatures (v3.3 - June 2022),Kasar et al. 2015 Nature Communications,https://doi.org/10.1038/ncomms9866,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs84/
SBS85,cytidine_deaminases,cytidine_deaminases, AID activity,Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells.,SBS85 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.,Mutational Signatures (v3.3 - June 2022),Kasar et al. 2015 Nature Communications,https://doi.org/10.1038/ncomms9866,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs85/
SBS86,treatment_associated,chemotherapy_unknown, Unknown chemotherapy,Unknown chemotherapy treatment.,Mainly characterized by most C>G trinucleotide contexts except those flanked 3' by G. Enriched in hyperdiploid acute lymphoblastic leukaemia (ALL) cases.,Mutational Signatures (v3.3 - June 2022),Li et al. 2020 Blood,https://doi.org/10.1182/blood.2019002220,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs86/
SBS87,treatment_associated,chemotherapy_thiopurine, Thiopurine chemotherapy,"Thiopurine chemotherapy treatment, experimentally validated.",Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.,Mutational Signatures (v3.3 - June 2022),Li et al. 2020 Blood,https://doi.org/10.1182/blood.2019002220,Li et al. 2020 Blood,https://doi.org/10.1182/blood.2019002220, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs87/
