signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
SBS8,unknown,unknown,HR deficiency / NER deficiency,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS8 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,-,-
SBS9,dysfunctional_dna_replication,polymerase_mutations,Polymerase eta somatic hypermutation,May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells,Chronic lymphocytic leukaemias that possess immunoglobulin gene hypermutation (IGHV-mutated) have elevated numbers of mutations attributed to SBS9 compared to those that do not have immunoglobulin gene hypermutation,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS9 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,-,-
SBS10a,dysfunctional_dna_replication,polymerase_mutations,POLE exonuclease domain mutation,Polymerase epsilon exonuclease domain mutations,SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS10a · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,Li et al. 2018 J Clin Invest,Mouse
SBS10b,dysfunctional_dna_replication,polymerase_mutations,POLE exonuclease domain mutation,Polymerase epsilon exonuclease domain mutations,Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS10b · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,Li et al. 2018 J Clin Invest,Mouse
SBS10c,dysfunctional_dna_replication,proofreading,Defective POLD1 proofreading,Defective POLD1 proofreading,Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS10c · GRCh37 · COSMIC v100,Normal tissues from individuals with germline POLD1 exonuclease domain mutations,Robinson et al. 2021 Nature Genetics,v3.2,WGS,No,-,-
SBS10d,dysfunctional_dna_replication,proofreading,Defective POLD1 proofreading,Adenoma from individuals with germline POLD1 exonuclease domain mutations,Strong lagging replication strand bias. Enriched in non-coding genome (intergenic and intronic) regions,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS10d · GRCh37 · COSMIC v100,Adenoma from individuals with germline POLD1 exonuclease domain mutations,Robinson et al. 2021 Nature Genetics,v3.2,WGS,No,-,-
SBS11,treatment_associated,triazenes,Temozolomide chemotherapy / MMR deficiency + temozolomide,SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations,SBS11 usually generates large numbers of somatic mutations (>10 mutations per MB),Mutational Signatures (v3.4 - October 2023),Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS11 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Kucab et al. 2019 Cell,Human
SBS12,unknown,unknown,Unknown,Unknown,SBS12 usually contributes a small percentage (<20%) of the mutations observed in liver cancer samples,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS12 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,-,-
SBS13,cytidine_deaminases,cytidine_deaminases,APOBEC activity,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5’ to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil","SBS13 is usually found in the same samples as SBS2. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS13 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Nik-Zainal et al. 2012 Cell,v1,WES & WGS,Yes,Chan et al. 2015 Nature Genetics,Yeast
SBS14,dysfunctional_dna_repair,MMR,MMR deficiency + POLE mutation,Concurrent polymerase epsilon mutation and defective DNA mismatch repair,"SBS14 mutations are present in very high numbers in all samples in which it has been observed. SBS14 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS15, SBS20, SBS21, SBS26 and SBS44",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS14 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Hodel et al. 2020 Molecular Cell,Human
SBS15,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,"SBS15 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44",Mutational Signatures (v3.4 - October 2023),Statistical association; Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS15 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Meier et al. 2018 Genome Research,C. elegans
SBS16,unknown,unknown,Unknown,Unknown,"In addition to lower levels of nucleotide excision repair on the untranscribed strands of genes, elevated levels of DNA damage on untranscribed strands (compared to the remainder of the genome) may contribute to SBS16. Contamination by SBS16 may still be present in the current version of SBS5",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS16 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,-,-
SBS17a,immune,ROS,Damage by ROS,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS17a · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Secrier et al. 2016 Nature Genetics,v3,WES & WGS,Yes,-,-
SBS17b,treatment_associated,chemotherapy_pyrimidine_antagonists,Damage by ROS / 5FU chemotherapy,"In the vast majority of tumours the aetiology is unknown. However, in some cases, previous studies have associated SBS17b to fluorouracil (5FU) chemotherapy treatment and to damage inflicted by reactive oxygen species",SBS17b has similarities to SBS28 and these two signatures can be mistaken for one another,Mutational Signatures (v3.4 - October 2023),Statistical association (ROS) / Experimental studies (5FU),https://cancer.sanger.ac.uk/signatures/sbs/,SBS17b · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Secrier et al. 2016 Nature Genetics,v3,WES & WGS,Yes,Christensen et al. 2019 Nature Communications,Human
SBS18,immune,ROS,Damage by ROS,Possibly damage by reactive oxygen species,Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS18 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Kucab et al. 2019 Cell,Human
SBS19,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS19 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,-,-
SBS20,dysfunctional_dna_repair,MMR,MMR deficiency + POLD1 mutation,Concurrent POLD1 mutations and defective DNA mismatch repair,"SBS20 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44",Mutational Signatures (v3.4 - October 2023),Statistical association; Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS20 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Meier et al. 2018 Genome Research,C. elegans
SBS21,dysfunctional_dna_repair,MMR,MMR deficiency,DNA mismatch repair deficiency,"SBS21 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44",Mutational Signatures (v3.4 - October 2023),Statistical association; Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS21 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2013 Nature,v1,WES & WGS,Yes,Meier et al. 2018 Genome Research,C. elegans
SBS22a,environmental_mutagens,aristolochic_acid,Aristolochic acid exposure,Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS22a · GRCh37 · COSMIC v100,"Found in liver, kidney, biliary tract, oesophageal squamous, and bladder cancers",Senkin et al. 2023 MedRxiv,v3.4,WGS/WES,Yes,Nik-Zainal et al. 2015 Mutagenesis,Mouse
SBS22b,environmental_mutagens,aristolochic_acid,Aristolochic acid exposure,"Aristolochic acid exposure. Found in many cancer samples that also have SBS22a, DBS20, and ID23",NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS22b · GRCh37 · COSMIC v100,Identified in clear cell renal cell carcinomas,Senkin et al. 2023 MedRxiv,v3.4,WGS,No,-,-
SBS23,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS23 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES,Yes,-,-
SBS24,plants_and_microbes,aflatoxin,Aflatoxin exposure,Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS24 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES & WGS,Yes,Chawanthayatham et al. 2017 PNAS,Mouse
SBS25,treatment_associated,chemotherapy_unknown,Unknown chemotherapy,"Unknown. However, some Hodgkin’s cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment",This signature has only been identified in Hodgkin’s cell lines. Data is not available from primary Hodgkin lymphomas,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS25 · GRCh37 · COSMIC v100,Hodgkin lymphoma cell lines,Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES & WGS,Yes,-,-
SBS26,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,"SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44",Mutational Signatures (v3.4 - October 2023),Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS26 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES & WGS,Yes,Meier et al. 2018 Genome Research,C. elegans
